Drug,INN,Date first registered by US FDA,Company or Companies,Indication,Currency,Years since 1st US FDA approval,,,2016,US as share of global sales,Medicare dashboard as share of US sales,Medicare dashboard as percent of global,Foreign currency for global sales,#NAME?,"Exchange rates, 2016",multiply by,divide by
Actemra,tocilizumab,2008-01-08,Genentech/Roche,Rheumatoid arthritis,CHF,13.9,,,"1,697CHF",38%,39%,15%,F,,Euro,1.0638,0.940
Actemra (US only),tocilizumab,2008-01-08,Genentech/Roche,Rheumatoid arthritis,CHF,13.9,,,CHF647,,,,F,,CHF,0.9756,1.025
Actemra (US only),tocilizumab,2008-01-08,Genentech/Roche,Rheumatoid arthritis,USD,13.9,,,$631.21,,,,F,,,,
Actemra (USA Medicare Part B),tocilizumab,2008-01-08,Genentech/Roche,Rheumatoid arthritis,USD,13.9,,,$184,,,,F,,Yen,0.0088,113.138
Actemra (USA Medicare Part D),tocilizumab,2008-01-08,Genentech/Roche,Rheumatoid arthritis,USD,13.9,,,$61,,,,F,,DKK,0.1429,7.000
Advair,fluticasone propionate; salmeterol xinafoate,2000-08-24,GSK,Asthma,GBP,21.1,,,"£3,485",52%,98%,51%,F,,GBP,1.2987,0.770
Advair (US only),fluticasone propionate; salmeterol xinafoate,2000-08-24,GSK,Asthma,GBP,21.1,,,"£1,829",,,,F,,CAN,0.7252,1.379
Advair (US only),fluticasone propionate; salmeterol xinafoate,2000-08-24,GSK,Asthma,USD,21.1,,,"$2,375",,,,F,,,,
Advair (USA Medicare Part B),fluticasone propionate; salmeterol xinafoate,2000-08-24,GSK,Asthma,USD,21.1,,,$0,,,,F,,,,
Advair (USA Medicare Part D),fluticasone propionate; salmeterol xinafoate,2000-08-24,GSK,Asthma,USD,21.1,,,"$2,320.13",,,,F,,,,
Aubagio,Teriflunomide,2012-09-12,Sanofi Aventis US ,MS,EUR,9.3,,,"€1,295",70%,47%,33%,F,,,,
Aubagio (US only),Teriflunomide,2012-09-12,Sanofi Aventis US ,MS,EUR,9.3,,,€908,,,,F,,,,
Aubagio (US only),Teriflunomide,2012-09-12,Sanofi Aventis US ,MS,USD,9.3,,,$966,,,,F,,,,
Aubagio (USA Medicare Part B),Teriflunomide,2012-09-12,Sanofi Aventis US ,MS,USD,9.3,,,$0,,,,F,,,,
Aubagio (USA Medicare Part D),Teriflunomide,2012-09-12,Sanofi Aventis US ,MS,USD,9.3,,,$450,,,,F,,,,
